Fecha (UTC),Latitud [º],Longitud [º],Profundidad [km],Magnitud [*]
2017-03-13 15:05:55,-30.44,-71.33,51,5.3
2017-03-31 18:44:39,-30.74,-71.35,40,5
2017-04-03 06:56:58,-30.64,-70.98,81,4.4
2017-04-13 03:42:51,-30.97,-71.42,48,5.3
2017-04-15 01:50:23,-32.04,-70.99,96,4.2
2017-04-18 12:33:53,-31.86,-71.22,55,4.4
2017-05-28 12:05:47,-30.72,-71.39,45,4.6
2017-05-30 15:04:08,-30.65,-71.21,58,4.1
2017-06-16 09:47:00,-30.95,-70.98,85,4.6
2017-06-26 14:44:50,-30.66,-71.26,53,5.3
2017-09-25 07:27:11,-30.11,-71.43,38,4.7
2017-10-04 08:25:32,-30.72,-71.34,42,4.3
2017-10-09 22:55:51,-30.01,-71.24,50,4.7
2017-11-09 07:36:58,-30.7,-71.36,39,5
2017-12-23 04:07:43,-29.86,-71.44,55,4
2018-07-15 07:22:37,-30.83,-71.39,55,4.1
2018-07-16 18:34:41,-30.92,-71.28,60,4.1
2018-11-15 06:46:01,-30.16,-71.23,78,4
2018-12-01 13:19:33,-30.72,-71.44,39,4
2018-12-11 23:25:11,-30.57,-71.28,60,4.4
2018-09-02 11:04:12,-29.39,-71.2,49,4.6
2018-09-26 19:13:02,-29.64,-70.64,102,4.1
2018-09-28 13:49:53,-30.3,-71.34,48,4.2
2018-11-06 19:08:30,-29.79,-71.48,47,4.1
2018-08-12 05:13:43,-29.72,-71.3,53,4.2
2018-11-20 01:56:54,-29.87,-71.36,49,4.2
2018-05-27 15:18:02,-31.3,-71.36,47,4.4
2018-03-23 12:27:11,-31.3,-71.19,67,4.2
2018-06-20 08:45:24,-30.71,-71.4,49,4.1
2018-06-28 21:59:01,-31.16,-71.29,53,4.4
2018-06-29 22:17:33,-30.64,-71.25,49,4.4
2018-08-22 07:22:32,-30.71,-71.39,49,4
2018-08-27 09:16:03,-29.73,-71.48,57,5.1
2018-09-18 23:50:10,-30.85,-71.33,42,4.1
2018-11-21 11:42:59,-31.6,-71.44,47,4.9
2018-01-26 12:54:38,-30.99,-71.32,55,4.1
2018-02-01 23:13:54,-31.56,-70.3,133,5.2
2018-02-25 00:21:54,-31.59,-71.46,50,4
2018-03-04 14:06:55,-31.04,-71.36,63,4.3
2018-03-04 15:36:23,-30.87,-71.17,58,4.7
2018-03-07 22:33:01,-30.7,-71.36,52,4.8
2018-04-02 13:36:16,-30.36,-71.38,41,4
2018-04-26 05:32:48,-30.62,-71.17,56,5.3
2018-05-04 20:25:33,-29.82,-71.38,49,5
2018-06-15 14:01:47,-29.59,-71.3,60,4.3
2018-08-28 04:51:40,-29.7,-71.3,47,5.1
2018-12-06 05:24:14,-30.72,-71.41,50,4.6
2019-01-22 09:15:25,-30.23,-71.22,60,4
2019-01-25 08:29:18,-30.24,-71.33,66,4
2019-01-20 04:59:44,-30.14,-71.24,62,4.3
2019-01-22 00:36:43,-30.22,-71.24,64,4.2
2019-01-22 16:19:26,-30.23,-71.24,59,4.3
2019-01-24 07:25:46,-30.12,-71.3,65,4
2019-01-28 03:33:36,-29.68,-71.28,50,4.5
2019-01-29 11:02:55,-31.72,-71.3,56,4
2019-01-20 01:32:51,-30.28,-71.36,50,6.7
2019-01-20 01:38:20,-30.27,-71.29,61,4.1
2019-01-20 02:35:59,-30.09,-71.24,64,4.2
2019-01-22 00:41:20,-30.15,-71.25,61,4.5
2019-01-22 13:44:47,-30.21,-71.18,65,4.3
2019-01-29 20:25:34,-30.75,-71.03,72,4.4
2019-02-07 21:03:24,-30.13,-71.26,60,4.3
2019-01-18 15:02:54,-30.77,-71.3,62,4.4
2019-01-24 10:28:28,-30.17,-71.22,58,5
2020-02-06 06:51:16,-29.34,-70.64,87,4.1
2020-02-10 02:00:58,-29.32,-70.67,78,3.3
2020-10-28 14:53:11,-29.33,-71.2,60,5.9
2020-07-21 13:11:07,-29.29,-71.25,57,3.2
2019-12-11 11:22:42,-29.94,-71.39,45,3.1
2019-05-10 03:47:43,-29.92,-71.38,50,3
2019-07-31 08:16:02,-30.21,-71.25,54,3.7
2019-05-16 04:32:28,-29.92,-71.42,53,3.8
2020-02-14 21:37:22,-30.1,-71.27,63,3.5
2019-11-16 06:58:32,-30.26,-71.21,63,3.9
2020-01-16 11:41:55,-29.93,-71.36,50,3.4
2020-03-15 07:39:26,-30.07,-71.28,64,3.6
2020-11-21 02:11:47,-30.92,-71.26,56,5.6
2019-10-25 10:53:30,-29.9,-71.4,50,3.4
2019-07-24 09:12:52,-30.07,-71.26,68,3.5
2020-05-12 08:29:42,-29.99,-71.22,59,3.7
2019-11-13 03:18:02,-30.15,-71.29,63,3.7
2020-12-08 07:07:20,-32.09,-71.47,58,5
2021-01-16 03:53:35,-31.02,-71.39,67,5.1
2021-02-10 20:18:29,-31.77,-71.25,52,5.2
2020-01-06 04:07:47,-31.16,-71.44,59,3.7
2020-01-10 20:48:04,-30.84,-71.36,45,4.9
2019-04-11 00:32:23,-29.53,-71.34,58,3.7
2019-04-25 09:33:32,-29.66,-71.3,68,3.8
2020-04-21 12:31:24,-30.98,-71.38,54,3.1
2020-05-06 08:37:37,-30.72,-71.41,50,3.7
2019-03-06 05:14:58,-29.29,-71.16,35,3.9
2019-11-24 21:18:25,-31.79,-71.45,44,4.4
2019-10-21 12:02:42,-30.71,-71.37,49,4.3
2019-07-29 17:50:21,-31.63,-71.47,56,3.9
2020-02-26 20:21:32,-30.99,-71.34,57,4.8
